plant,rule,axis,factor,kp,ki,kd,survived,rise_s,settle_s,overshoot_pct,iae,u_tv
easy L/T=0.1,Cohen-Coon,gain,0.50,6.79167,28.75000,0.24256,1,0.5400,1.2000,5.385,0.42147,1.3545
easy L/T=0.1,Cohen-Coon,gain,0.70,6.79167,28.75000,0.24256,1,0.3500,0.8100,5.254,0.31193,1.6260
easy L/T=0.1,Cohen-Coon,gain,1.00,6.79167,28.75000,0.24256,1,0.2300,1.1600,6.154,0.26270,6.3036
easy L/T=0.1,Cohen-Coon,gain,1.40,6.79167,28.75000,0.24256,0,0.1600,20.0000,26.207,3.77562,495.0882
easy L/T=0.1,Cohen-Coon,gain,1.70,6.79167,28.75000,0.24256,0,0.1300,20.0000,23.378,5.00262,523.5081
easy L/T=0.1,Cohen-Coon,gain,2.00,6.79167,28.75000,0.24256,0,0.1000,20.0000,22.251,6.06622,544.8691
easy L/T=0.1,Cohen-Coon,tau,0.50,6.79167,28.75000,0.24256,0,0.1100,20.0000,17.371,6.03296,543.5013
easy L/T=0.1,Cohen-Coon,tau,0.70,6.79167,28.75000,0.24256,1,0.1600,19.9900,23.533,3.53775,466.7113
easy L/T=0.1,Cohen-Coon,tau,1.00,6.79167,28.75000,0.24256,1,0.2300,1.1600,6.154,0.26270,6.3036
easy L/T=0.1,Cohen-Coon,tau,1.40,6.79167,28.75000,0.24256,1,0.3200,0.7800,7.208,0.30232,2.0259
easy L/T=0.1,Cohen-Coon,tau,1.70,6.79167,28.75000,0.24256,1,0.3900,0.9800,8.467,0.35351,2.0754
easy L/T=0.1,Cohen-Coon,tau,2.00,6.79167,28.75000,0.24256,1,0.4500,1.1300,9.420,0.40412,2.2627
easy L/T=0.1,Cohen-Coon,delay,0.50,6.79167,28.75000,0.24256,1,0.2400,0.7200,3.247,0.19752,1.5880
easy L/T=0.1,Cohen-Coon,delay,0.70,6.79167,28.75000,0.24256,1,0.2300,0.6400,2.877,0.21067,2.0305
easy L/T=0.1,Cohen-Coon,delay,1.00,6.79167,28.75000,0.24256,1,0.2300,1.1600,6.154,0.26270,6.3036
easy L/T=0.1,Cohen-Coon,delay,1.40,6.79167,28.75000,0.24256,0,0.2300,20.0000,25.047,3.77507,267.3794
easy L/T=0.1,Cohen-Coon,delay,1.70,6.79167,28.75000,0.24256,0,0.2300,20.0000,25.190,5.40832,245.0435
easy L/T=0.1,Cohen-Coon,delay,2.00,6.79167,28.75000,0.24256,0,0.2300,20.0000,31.993,6.97873,212.6368
easy L/T=0.1,AMIGO-step,gain,0.50,2.35000,5.59524,0.11408,1,0.5600,2.1800,12.236,0.52381,1.1920
easy L/T=0.1,AMIGO-step,gain,0.70,2.35000,5.59524,0.11408,1,0.3800,1.7700,14.105,0.41907,1.4686
easy L/T=0.1,AMIGO-step,gain,1.00,2.35000,5.59524,0.11408,1,0.2600,1.4600,13.877,0.33131,1.6420
easy L/T=0.1,AMIGO-step,gain,1.40,2.35000,5.59524,0.11408,1,0.1800,1.2400,12.417,0.26557,1.7403
easy L/T=0.1,AMIGO-step,gain,1.70,2.35000,5.59524,0.11408,1,0.1400,1.1400,11.243,0.23535,1.9818
easy L/T=0.1,AMIGO-step,gain,2.00,2.35000,5.59524,0.11408,1,0.1100,1.0200,11.346,0.21559,3.0468
easy L/T=0.1,AMIGO-step,tau,0.50,2.35000,5.59524,0.11408,1,0.1200,0.9000,5.665,0.18786,2.8713
easy L/T=0.1,AMIGO-step,tau,0.70,2.35000,5.59524,0.11408,1,0.1900,1.2000,8.226,0.24608,1.5456
easy L/T=0.1,AMIGO-step,tau,1.00,2.35000,5.59524,0.11408,1,0.2600,1.4600,13.877,0.33131,1.6420
easy L/T=0.1,AMIGO-step,tau,1.40,2.35000,5.59524,0.11408,1,0.3500,1.7100,18.821,0.44140,1.8113
easy L/T=0.1,AMIGO-step,tau,1.70,2.35000,5.59524,0.11408,1,0.4100,2.7100,21.087,0.52180,1.9478
easy L/T=0.1,AMIGO-step,tau,2.00,2.35000,5.59524,0.11408,1,0.4700,3.1100,22.542,0.59967,2.0842
easy L/T=0.1,AMIGO-step,delay,0.50,2.35000,5.59524,0.11408,1,0.3000,1.5700,12.590,0.29675,1.6075
easy L/T=0.1,AMIGO-step,delay,0.70,2.35000,5.59524,0.11408,1,0.2900,1.5300,13.042,0.31024,1.6189
easy L/T=0.1,AMIGO-step,delay,1.00,2.35000,5.59524,0.11408,1,0.2600,1.4600,13.877,0.33131,1.6420
easy L/T=0.1,AMIGO-step,delay,1.40,2.35000,5.59524,0.11408,1,0.2400,1.3400,15.980,0.36474,1.7003
easy L/T=0.1,AMIGO-step,delay,1.70,2.35000,5.59524,0.11408,1,0.2300,1.2000,20.975,0.39495,1.8820
easy L/T=0.1,AMIGO-step,delay,2.00,2.35000,5.59524,0.11408,1,0.2300,1.4600,27.990,0.44790,2.4744
easy L/T=0.1,IMC-lambda,gain,0.50,0.95455,0.90909,0.04545,1,2.1900,4.0100,0.000,1.09001,0.1481
easy L/T=0.1,IMC-lambda,gain,0.70,0.95455,0.90909,0.04545,1,1.4900,2.7100,0.008,0.77610,0.4313
easy L/T=0.1,IMC-lambda,gain,1.00,0.95455,0.90909,0.04545,1,0.9800,1.7600,0.207,0.54828,0.6456
easy L/T=0.1,IMC-lambda,gain,1.40,0.95455,0.90909,0.04545,1,0.6600,1.1700,0.693,0.40708,0.7885
easy L/T=0.1,IMC-lambda,gain,1.70,0.95455,0.90909,0.04545,1,0.5100,0.9200,1.065,0.34828,0.8515
easy L/T=0.1,IMC-lambda,gain,2.00,0.95455,0.90909,0.04545,1,0.4200,0.7600,1.404,0.30844,0.8956
easy L/T=0.1,IMC-lambda,tau,0.50,0.95455,0.90909,0.04545,1,1.1500,3.4100,0.000,0.54000,0.7155
easy L/T=0.1,IMC-lambda,tau,0.70,0.95455,0.90909,0.04545,1,0.9800,2.8300,0.000,0.54000,0.6641
easy L/T=0.1,IMC-lambda,tau,1.00,0.95455,0.90909,0.04545,1,0.9800,1.7600,0.207,0.54828,0.6456
easy L/T=0.1,IMC-lambda,tau,1.40,0.95455,0.90909,0.04545,1,1.0900,3.9900,4.069,0.71347,0.6506
easy L/T=0.1,IMC-lambda,tau,1.70,0.95455,0.90909,0.04545,1,1.1800,4.7600,6.922,0.85096,0.6628
easy L/T=0.1,IMC-lambda,tau,2.00,0.95455,0.90909,0.04545,1,1.2600,5.2800,9.489,0.98982,0.6810
easy L/T=0.1,IMC-lambda,delay,0.50,0.95455,0.90909,0.04545,1,1.1000,1.9100,0.126,0.54525,0.5547
