scenario,k,cmd,rc,output,setpoint,error,p,i,d,ff,unsat,flags,last_error
deriv_weighted,3,u,0,6.6666666666666661,4,3,6,0,0.66666666666666652,0,6.6666666666666661,4,0
deriv_weighted,4,u,0,0.44444444444444509,4,1.5,3,0,-2.5555555555555549,0,0.44444444444444509,4,0
deriv_weighted,5,u,0,-3.9037037037037017,4,0.20000000000000018,0.40000000000000036,0,-4.303703703703702,0,-3.9037037037037017,4,0
deriv_on_meas_setpoint_step,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
deriv_on_meas_setpoint_step,1,u,0,0,0,0,0,0,0,0,0,4,0
deriv_on_meas_setpoint_step,2,u,0,8,4,4,8,0,0,0,8,4,0
deriv_on_meas_setpoint_step,3,u,0,4,4,3,6,0,-1.9999999999999996,0,4,4,0
deriv_on_meas_setpoint_step,4,u,0,-1.3333333333333321,4,1.5,3,0,-4.3333333333333321,0,-1.3333333333333321,4,0
beta_2dof,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
beta_2dof,1,u,0,4.9500000000000011,3,3,4.8000000000000007,0.15000000000000002,0,0,4.9500000000000011,4,0
beta_2dof,2,u,0,1.646428571428572,3,2.5,2.8000000000000007,0.27500000000000002,-1.4285714285714286,0,1.646428571428572,4,0
beta_2dof,3,u,0,-3.4245918367346926,3,1.6000000000000001,-0.79999999999999893,0.35500000000000004,-2.9795918367346936,0,-3.4245918367346926,4,0
beta_2dof,4,u,0,-7.4327405247813392,3,0.70000000000000018,-4.3999999999999986,0.39000000000000007,-3.4227405247813407,0,-7.4327405247813392,4,0
beta_2dof,5,u,0,-9.0972115785089542,3,0.10000000000000009,-6.7999999999999989,0.39500000000000007,-2.6922115785089549,0,-9.0972115785089542,4,0
beta_2dof,6,u,0,-8.550631879573988,3,-0.10000000000000009,-7.5999999999999996,0.39000000000000007,-1.3406318795739876,0,-8.550631879573988,4,0
aw_none,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
